TxNr;Betrag;ZeitLetzteTx;EntfernungClusterzentrum;EntfernungnaechstesGeraet;letzteHandyEntsperrung;Alter;5311;5411;5541;5812;5912;7995;6012;5813;4111;7011
UseCase100000000;23;10;14;16;5;20;0;0;1;0;0;0;0;0;0;0
UseCase200000000;281;10;102;20;30;20;0;0;0;0;0;0;0;1;0;0
UseCase300000000;80;30;218;2060;100;20;0;1;0;0;0;0;0;0;0;0
LiveDemo00000000;1;1;1;1;1;20;0;1;0;0;0;0;0;0;0;0
TX20250705000001;74;62;15;8;121;63;0;0;0;0;0;0;0;0;1;0
TX20250704000002;90;28;15;2;44;23;0;0;0;0;0;1;0;0;0;0
TX20250704000003;11;65;3;3;87;75;0;0;0;1;0;0;0;0;0;0
TX20250705000004;90;18;12;2;108;20;1;0;0;0;0;0;0;0;0;0
TX20250705000005;74;69;10;7;78;35;0;0;0;0;0;1;0;0;0;0
TX20250704000006;91;59;4;10;65;31;0;0;0;0;0;1;0;0;0;0
TX20250705000007;30;74;7;8;27;24;1;0;0;0;0;0;0;0;0;0
TX20250705000008;91;50;10;7;107;20;0;0;0;0;0;1;0;0;0;0
TX20250704000009;22;10;2;3;128;20;0;0;0;0;0;1;0;0;0;0
TX20250704000010;64;53;11;7;130;20;0;0;1;0;0;0;0;0;0;0
TX20250705000011;64;55;9;1;94;20;0;0;0;0;0;1;0;0;0;0
TX20250704000012;30;24;2;3;8;63;0;0;0;0;0;1;0;0;0;0
TX20250705000013;11;24;7;4;20;23;1;0;0;0;0;0;0;0;0;0
TX20250705000014;11;74;15;4;15;75;0;0;0;0;0;1;0;0;0;0
TX20250705000015;22;39;3;10;69;20;0;1;0;0;0;0;0;0;0;0
TX20250705000016;74;76;14;3;120;35;1;0;0;0;0;0;0;0;0;0
TX20250705000017;9;78;18;2;116;31;0;1;0;0;0;0;0;0;0;0
TX20250704000018;22;70;4;9;32;20;0;1;0;0;0;0;0;0;0;0
TX20250704000019;11;75;19;5;118;20;0;1;0;0;0;0;0;0;0;0
TX20250705000020;91;25;19;6;79;20;0;0;0;0;0;1;0;0;0;0
TX20250705000021;11;23;108;5;97;20;0;1;0;0;0;0;0;0;0;0
TX20250705000022;11;24;19;5;65;63;0;1;0;0;0;0;0;0;0;0
TX20250630000001;90;56;14;14;69;23;0;0;0;0;0;1;0;0;0;0
TX20250630000002;7;16;8;6;32;75;0;0;0;0;0;0;0;0;1;0
TX20250627000003;10;24;11;10;21;20;0;0;0;0;0;0;0;0;1;0
TX20250630000004;29;69;1;3;29;35;0;0;0;0;0;1;0;0;0;0
TX20250623000005;49;41;8;14;29;31;0;1;0;0;0;0;0;0;0;0
TX20250701000006;55;57;15;2;147;24;0;0;1;0;0;0;0;0;0;0
TX20250703000007;75;79;2;5;144;20;1;0;0;0;0;0;0;0;0;0
TX20250702000008;44;57;6;6;61;20;0;1;0;0;0;0;0;0;0;0
TX20250628000009;32;63;17;11;95;20;0;0;0;0;0;1;0;0;0;0
TX20250703000010;18;47;9;11;75;20;0;1;0;0;0;0;0;0;0;0
TX20250627000011;91;15;5;15;100;63;0;0;0;0;0;1;0;0;0;0
TX20250628000012;10;80;14;8;50;23;0;1;0;0;0;0;0;0;0;0
TX20250625000013;93;15;19;7;125;75;0;1;0;0;0;0;0;0;0;0
TX20250623000014;66;47;15;11;148;20;0;0;0;0;0;0;0;0;1;0
TX20250625000015;26;38;16;2;145;35;0;0;0;0;0;1;0;0;0;0
TX20250630000016;15;40;7;10;52;31;0;0;0;1;0;0;0;0;0;0
TX20250627000017;64;38;9;3;57;20;0;1;0;0;0;0;0;0;0;0
TX20250625000018;46;12;12;8;63;20;0;1;0;0;0;0;0;0;0;0
TX20250702000019;81;53;11;14;47;20;0;0;1;0;0;0;0;0;0;0
TX20250701000020;27;27;4;2;101;20;0;0;1;0;0;0;0;0;0;0
TX20250624000021;51;25;7;7;14;63;0;0;0;0;0;0;0;0;1;0
TX20250623000022;38;68;6;9;118;23;0;0;0;0;0;1;0;0;0;0
TX20250703000023;62;18;7;12;134;75;0;0;1;0;0;0;0;0;0;0
TX20250703000024;73;61;4;14;72;20;0;0;0;0;0;1;0;0;0;0
TX20250627000025;59;14;3;8;124;35;0;1;0;0;0;0;0;0;0;0
TX20250702000026;15;13;4;3;76;31;0;0;0;0;0;1;0;0;0;0
TX20250624000027;10;30;3;3;106;24;0;0;0;1;0;0;0;0;0;0
TX20250625000028;96;63;4;7;24;20;0;0;0;0;0;0;0;0;1;0
TX20250629000029;68;80;9;8;42;20;0;1;0;0;0;0;0;0;0;0
TX20250627000030;29;55;7;4;87;20;0;1;0;0;0;0;0;0;0;0
TX20250624000031;15;40;4;1;111;20;1;0;0;0;0;0;0;0;0;0
TX20250630000032;23;21;14;12;86;63;0;1;0;0;0;0;0;0;0;0
TX20250628000033;89;12;8;7;112;23;0;0;0;0;0;1;0;0;0;0
TX20250629000034;11;38;3;3;99;75;0;0;0;0;0;1;0;0;0;0
TX20250701000035;27;18;5;4;86;20;0;1;0;0;0;0;0;0;0;0
TX20250703000036;53;10;6;8;99;35;0;0;0;0;0;0;0;0;1;0
TX20250629000037;8;56;3;3;58;31;0;0;0;1;0;0;0;0;0;0
TX20250626000038;48;64;7;4;74;20;0;1;0;0;0;0;0;0;0;0
TX20250703000039;38;51;8;10;111;20;0;1;0;0;0;0;0;0;0;0
TX20250628000040;13;17;4;2;22;20;1;0;0;0;0;0;0;0;0;0
TX20250624000041;10;47;3;4;131;20;0;0;0;0;0;1;0;0;0;0
TX20250627000042;13;15;4;2;67;63;0;0;0;0;0;1;0;0;0;0
TX20250629000043;84;65;8;12;85;23;0;0;0;0;0;0;0;0;1;0
TX20250702000044;25;27;3;1;136;75;1;0;0;0;0;0;0;0;0;0
TX20250630000045;17;36;1;3;144;20;0;0;0;1;0;0;0;0;0;0
TX20250626000046;38;17;6;5;137;35;0;0;1;0;0;0;0;0;0;0
TX20250623000047;92;78;2;2;82;31;0;0;0;0;0;1;0;0;0;0
TX20250626000048;42;48;11;7;62;24;0;0;1;0;0;0;0;0;0;0
TX20250701000049;13;40;3;3;65;20;0;0;0;1;0;0;0;0;0;0
TX20250624000050;48;26;7;6;91;20;0;0;0;0;0;0;0;0;1;0
TX20250701000087;64;44;11;7;127;20;0;0;0;0;0;0;0;1;0;0
