Betrag,ZeitLetzteTx,EntfernungClusterzentrum,EntfernungnaechstesGeraet,letzteHandyEntsperrung,Alter,5311,5411,5541,5812,5912,7995,6012,5813,4111,7011
245.68,52,1.7,4.2,13,28,0,1,0,0,0,1,0,0,0,0
89.25,130,0.5,19.1,4,34,0,0,1,0,1,0,0,1,0,0
430.10,78,2.9,2.7,2,45,1,0,0,0,0,1,0,0,0,1
150.99,300,0.7,12.6,10,22,0,0,1,0,1,0,0,0,1,0
67.43,12,3.5,5.5,7,38,1,0,0,1,0,0,1,0,0,0
321.87,97,1.2,1.9,20,50,0,1,0,0,0,0,0,1,0,0
210.56,210,2.1,15.0,15,27,0,0,0,0,1,1,0,0,1,0
509.00,84,0.3,8.3,6,41,0,0,1,0,0,0,1,0,0,1
172.33,65,4.0,3.6,8,31,1,0,0,1,0,0,0,1,0,0
88.90,180,1.6,6.8,17,36,0,1,0,0,1,0,0,0,1,0
