Betrag,ZeitLetzteTx,EntfernungClusterzentrum,EntfernungnaechstesGeraet,letzteHandyEntsperrung,Alter,5311,5411,5541,5812,5912,7995,6012,5813,4111,7011,Prediction,Fraud_Probability,Prediction_custom
1873.33,0.38,321.02,15.5,3.27,71,0,0,0,0,0,1,0,0,0,0,1,0.9246177,1
4753.62,12.14,42.07,159.41,69.85,34,0,0,0,0,1,0,0,0,0,0,0,0.39302355,1
3660.24,4.53,80.81,162.19,21.11,26,0,0,0,0,0,0,0,0,1,0,0,0.052513346,1
2993.69,8.53,449.28,191.23,52.54,50,1,0,0,0,0,0,0,0,0,0,1,0.6988328,1
780.94,28.58,303.21,217.83,11.57,70,0,0,0,0,0,0,1,0,0,0,1,0.6006456,1
780.82,3.44,4.6,292.76,67.76,37,0,0,0,0,1,0,0,0,0,0,1,0.6718439,1
291.36,6.34,50.74,154.89,14.79,30,0,0,0,0,1,0,0,0,0,0,0,0.054097574,1
4331.01,16.9,331.75,96.89,0.33,45,0,1,0,0,0,0,0,0,0,0,0,0.34966138,1
3005.97,3.12,2.53,238.56,70.74,65,0,0,1,0,0,0,0,0,0,0,0,0.33084133,1
3540.65,0.96,80.4,81.25,2.87,46,0,0,0,0,0,0,1,0,0,0,0,0.051421292,1
103.9,4.11,274.37,131.69,11.54,30,0,0,0,0,0,1,0,0,0,0,1,0.9226448,1
4849.58,2.11,345.95,23.54,89.91,63,0,1,0,0,0,0,0,0,0,0,1,0.7084464,1
4162.38,31.86,325.98,7.61,90.24,52,0,0,0,0,0,1,0,0,0,0,1,0.9028131,1
1062.48,19.81,112.13,288.79,25.56,78,0,1,0,0,0,0,0,0,0,0,0,0.40533033,1
909.94,12.04,356.09,250.79,29.98,23,0,1,0,0,0,0,0,0,0,0,1,0.5461665,1
917.84,24.62,118.62,208.79,17.85,35,0,1,0,0,0,0,0,0,0,0,0,0.06870653,1
1521.91,19.54,162.7,122.69,10.41,68,0,0,1,0,0,0,0,0,0,0,0,0.31188664,1
2624.26,2.48,373.25,51.99,11.95,22,0,1,0,0,0,0,0,0,0,0,0,0.35502636,1
2160.29,26.77,324.82,46.93,33.49,64,0,0,0,1,0,0,0,0,0,0,1,0.64613295,1
1456.85,9.3,424.61,75.07,41.88,42,0,0,0,0,0,0,0,0,1,0,0,0.41758326,1
3059.65,19.77,328.81,164.77,47.05,19,0,0,0,0,0,1,0,0,0,0,1,0.955901,1
698.33,27.17,284.15,214.38,46.76,27,1,0,0,0,0,0,0,0,0,0,1,0.8335405,1
1461.43,4.59,46.84,198.06,2.87,73,0,0,0,0,0,0,0,1,0,0,0,0.052331954,1
1832.44,1.4,183.86,83.98,20.46,47,0,0,0,0,0,0,1,0,0,0,0,0.29719123,1
2280.89,3.1,132.6,286.46,1.78,67,0,0,0,0,0,0,0,0,0,1,0,0.40083143,1
3926.09,6.68,121.99,221.37,23.92,76,0,0,1,0,0,0,0,0,0,0,0,0.058658857,1
999.17,20.45,486.51,166.31,17.48,62,1,0,0,0,0,0,0,0,0,0,0,0.35130692,1
2571.66,23.66,196.55,183.52,65.6,22,0,0,0,0,1,0,0,0,0,0,1,0.68701833,1
2962.48,0.08,446.02,125.88,12.97,72,0,0,0,1,0,0,0,0,0,0,0,0.36237085,1
233.21,8.58,315.57,74.32,3.74,73,0,0,0,0,0,0,0,0,0,1,0,0.35845557,1
3038.12,6.48,397.41,106.79,4.63,50,0,0,0,0,0,0,0,1,0,0,0,0.3583208,1
853.45,3.01,251.32,227.35,43.0,71,1,0,0,0,0,0,0,0,0,0,0,0.3808879,1
326.19,1.53,288.45,4.32,28.89,18,0,0,0,0,0,0,0,0,0,1,0,0.36043343,1
4744.48,4.94,246.26,34.82,3.2,35,1,0,0,0,0,0,0,0,0,0,0,0.349967,1
4828.19,34.36,97.62,13.8,2.64,49,0,0,0,1,0,0,0,0,0,0,0,0.18166853,1
4042.18,4.68,361.23,12.22,36.22,64,0,0,0,0,0,0,0,1,0,0,0,0.3578254,1
1523.76,8.78,140.39,256.64,2.27,66,0,0,0,0,1,0,0,0,0,0,0,0.40509036,1
489.26,14.57,12.16,211.1,51.76,28,0,1,0,0,0,0,0,0,0,0,0,0.37474817,1
3421.48,5.42,322.74,142.25,36.75,38,0,0,0,0,0,1,0,0,0,0,1,0.93272793,1
2201.32,42.81,88.56,29.35,2.55,43,0,0,0,0,1,0,0,0,0,0,0,0.16857749,1
611.07,39.38,470.23,147.48,2.66,42,0,1,0,0,0,0,0,0,0,0,1,0.5397405,1
2476.39,3.48,476.96,142.04,129.46,39,0,0,1,0,0,0,0,0,0,0,1,0.7070417,1
172.91,8.25,457.43,51.96,14.07,76,0,0,0,0,0,0,0,0,1,0,0,0.3710147,1
4546.69,4.3,185.08,130.16,13.89,44,0,0,0,0,0,0,1,0,0,0,0,0.29952022,1
1294.64,4.02,7.73,119.55,50.27,66,0,0,0,0,0,0,1,0,0,0,0,0.3702088,1
3312.95,0.45,464.16,184.76,88.26,30,0,0,0,0,0,1,0,0,0,0,1,0.95462537,1
1559.24,11.29,214.09,190.53,128.06,50,0,0,0,0,0,0,0,1,0,0,1,0.7189594,1
2600.82,8.38,483.33,13.59,42.0,51,0,0,0,1,0,0,0,0,0,0,0,0.43460664,1
2734.0,0.63,481.81,112.38,14.16,58,0,0,0,0,0,0,0,1,0,0,0,0.35334244,1
925.09,3.92,426.5,187.76,2.62,52,0,0,0,1,0,0,0,0,0,0,0,0.35119203,1
4847.95,28.67,147.22,150.94,45.04,18,0,0,0,0,0,0,0,1,0,0,0,0.47225064,1
3875.89,3.29,192.55,256.95,24.52,38,0,0,0,0,0,0,0,0,1,0,1,0.66342056,1
4697.56,1.88,425.57,197.61,16.56,65,0,0,1,0,0,0,0,0,0,0,0,0.3556668,1
4474.24,8.07,158.46,48.88,71.05,72,0,0,1,0,0,0,0,0,0,0,1,0.651121,1
2989.9,50.93,84.75,21.17,3.54,23,0,1,0,0,0,0,0,0,0,0,0,0.16857749,1
4609.45,3.33,278.4,192.73,20.36,45,0,0,0,0,0,0,0,0,0,1,0,0.3556668,1
443.37,13.38,468.08,7.95,0.34,34,0,0,1,0,0,0,0,0,0,0,0,0.38572752,1
980.72,17.21,348.01,175.73,18.97,22,0,0,1,0,0,0,0,0,0,0,0,0.35899135,1
227.09,3.26,285.03,282.07,1.74,48,0,0,0,0,1,0,0,0,0,0,1,0.6715983,1
