Transaktionsnummer,Betrag,ZeitLetzteTx,EntfernungClusterzentrum,EntfernungnaechstesGeraet,letzteHandyEntsperrung,Alter,5311,5411,5541,5812,5912,7995,6012,5813,4111,7011,Prediction,Fraud_Probability,Prediction_custom
1FKzrcRPR8AI1S1fr6,1873.33,0.38,321.02,15.5,3.27,71,0,0,0,0,0,1,0,0,0,0,1,0.9246177,1
v1XUVDuHOmKw99OgIV,103.9,4.11,274.37,131.69,11.54,30,0,0,0,0,0,1,0,0,0,0,1,0.9226448,1
8nxt2OCbgnmicgkBCD,4162.38,31.86,325.98,7.61,90.24,52,0,0,0,0,0,1,0,0,0,0,1,0.9028131,1
nb1qneUPehymwUk7Mr,3059.65,19.77,328.81,164.77,47.05,19,0,0,0,0,0,1,0,0,0,0,1,0.955901,1
LHIlmTebkkoh1RtBDz,698.33,27.17,284.15,214.38,46.76,27,1,0,0,0,0,0,0,0,0,0,1,0.8335405,1
s4u2ph8B6SYDY1zBQQ,3421.48,5.42,322.74,142.25,36.75,38,0,0,0,0,0,1,0,0,0,0,1,0.93272793,1
UPC6xkxh7Kd39NrEow,3312.95,0.45,464.16,184.76,88.26,30,0,0,0,0,0,1,0,0,0,0,1,0.95462537,1
12YqpetcCCWAs7okNL,4143.86,12.05,70.04,137.48,41.12,70,0,0,0,0,0,1,0,0,0,0,1,0.76356107,1
GYFQih3EzVYfDjPl5X,1405.39,1.14,438.69,282.44,98.24,54,0,0,0,0,0,1,0,0,0,0,1,0.978744,1
wEpZRD7Y7vHSlz3Qbk,4011.18,2.48,351.24,271.61,60.89,27,0,0,0,0,0,0,0,0,1,0,1,0.7862922,1
Rn0Z3W0EFwQza3Ql9y,3856.58,14.09,399.15,253.46,2.3,68,0,0,0,0,0,1,0,0,0,0,1,0.96407825,1
TBkMOfBUlKyEFF846S,1792.97,33.12,350.98,244.34,104.51,30,1,0,0,0,0,0,0,0,0,0,1,0.7620655,1
vxSVDsMJVIS9UerZOX,3188.15,9.72,271.32,53.23,9.9,48,0,0,0,0,0,1,0,0,0,0,1,0.9185508,1
jaTSMcltOGgY7JTkAo,128.07,26.17,311.45,225.26,109.95,29,0,1,0,0,0,0,0,0,0,0,1,0.8175274,1
