Betrag,ZeitLetzteTx,EntfernungClusterzentrum,EntfernungnaechstesGeraet,letzteHandyEntsperrung,Alter,Fraud,5311,5411,5541,5812,5912,7995,6012,5813,4111,7011
9820.47,8.08,14.6,72.68,2.65,41,0,1,0,0,0,0,0,0,0,0,0
5627.49,4.59,66.79,266.34,10.78,38,0,0,0,0,0,0,0,0,0,0,1
9562.64,0.49,8.23,82.54,9.12,41,0,0,0,0,0,0,0,0,1,0,0
5110.41,17.82,303.59,222.74,24.93,84,1,0,0,0,0,0,1,0,0,0,0
8687.87,0.96,959.45,299.3,35.94,78,0,0,0,0,0,0,0,0,0,1,0
1012.01,5.66,87.68,372.48,36.9,74,1,0,0,0,0,0,1,0,0,0,0
8792.08,1.43,93.28,38,6.33,35,0,0,0,0,0,1,0,0,0,0,0
825.11,11.08,429.01,64.61,22,29,0,1,0,0,0,0,0,0,0,0,0
1246,6.23,39.4,107.42,8.87,37,0,0,0,0,0,1,0,0,0,0,0
9559.59,22.94,89.17,6.23,99.25,32,0,1,0,0,0,0,0,0,0,0,0
9793.05,2.24,1.9,202.61,6.85,80,0,0,0,0,0,0,0,0,0,0,1
9755.62,1.9,110.16,407.38,44.15,73,0,0,0,1,0,0,0,0,0,0,0
6378.34,13.12,87.48,128.69,34.41,19,0,0,1,0,0,0,0,0,0,0,0
2871.38,1.42,25.6,47.53,98.4,25,1,0,0,1,0,0,0,0,0,0,0
2545.41,2.38,96.98,355.65,27.55,37,0,0,0,0,0,1,0,0,0,0,0
6553.49,3.31,361.9,231.28,147.2,34,0,0,0,0,0,0,0,1,0,0,0
2404.47,3.63,58.58,150.13,19.95,43,0,0,0,0,0,0,0,0,0,1,0
2331.93,3.03,11.82,181.11,9.91,76,0,0,0,0,1,0,0,0,0,0,0
6582.19,4.19,4.83,481.08,42.5,44,0,0,0,0,0,0,0,0,0,0,1
6625.66,3.25,769.65,103.85,77.35,47,0,0,0,0,0,0,0,0,1,0,0
9278.3,9.89,0.79,64.6,8.08,42,0,0,0,0,0,0,0,0,1,0,0
8912.62,9.85,58.76,200.58,41.09,35,0,0,0,0,0,0,0,0,1,0,0
88.37,6.61,10.28,67.16,42.03,40,0,0,0,0,0,0,0,1,0,0,0
9402.25,19.47,26.11,266.79,38.83,58,0,0,0,0,0,0,0,1,0,0,0
7405.11,0.79,66.87,297.26,17.39,86,0,0,0,0,0,1,0,0,0,0,0
4746.26,7.62,962.15,456.65,23.98,48,0,0,0,1,0,0,0,0,0,0,0
1730.32,5.77,729.63,326.2,7.53,26,1,0,0,0,0,0,0,0,1,0,0
6490.38,0.9,11.96,115.68,12.35,70,0,0,0,0,0,0,0,0,0,1,0
1377.33,9.13,4.07,435.44,1.58,79,0,0,0,1,0,0,0,0,0,0,0
